RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
377,MALE,2021,Asian,3111,2,0,0,SAT,550,540,2,C-,1.7,C-,1,N
378,FEMALE,2021,White,3111,3.7,4,4,ACT,680,800,1,A,4,A-,1,N
379,MALE,2022,TwoOrMore,3107,3.13,4.81,5,ACT,580,630,1,C+,2.3,B,1,N
380,MALE,2021,White,3107,3.54,3.94,4,SAT,670,600,1,B-,2.7,B+,1,N
381,MALE,2021,White,3111,3.11,95.39,100,SAT,710,720,1,C,2,B,1,N
382,MALE,2021,White,3111,1.57,3.77,4,ACT,600,630,1,C,2,C+,1,N
383,FEMALE,2021,White,3111,3.4,3.96,4,SAT,740,680,1,A,4,B+,1,N
384,MALE,2021,White,3111,3.67,4,4,ACT,680,800,1,A,4,A,1,N
385,FEMALE,2021,Black,3107,2.68,3.68,4,SAT,590,700,1,C,2,B-,1,N
386,FEMALE,2021,White,3111,3.01,3.9,4,ACT,610,710,1,C+,2.3,C,1,N
387,FEMALE,2021,White,3111,2.97,0,0,ACT,690,630,1,B,3,C+,1,N
388,MALE,2021,White,3111,3.42,3.7,4,SAT,670,650,1,B,3,C+,1,N
389,MALE,2021,TwoOrMore,3111,2.54,3.57,4,SAT,660,580,1,D,1,C-,1,N
390,FEMALE,2021,White,3111,3.77,4,4,ACT,650,800,1,A-,3.7,A-,1,N
391,FEMALE,2021,White,3111,3.28,95,100,SAT,660,550,2,B-,2.7,B+,1,N
392,MALE,2021,TwoOrMore,3111,3.31,96.6,100,ACT,650,660,1,B-,2.7,B,1,N
393,MALE,2021,White,3111,3.51,0,0,ACT,630,600,1,B,3,B-,1,N
394,MALE,2021,White,3107,3.08,3.4,4,ACT,680,580,1,B+,3.3,B,1,N
395,FEMALE,2021,Hispanic,3107,3.18,3.71,4,ACT,610,630,1,B,3,B,1,N
396,MALE,2021,White,3107,3.21,3.72,4,ACT,650,630,1,B,3,C+,1,N
397,MALE,2021,White,3211,3.91,3.9,4,ACT,660,580,0,,,H,1,N
398,MALE,2021,International Cadet,3107,3.27,3.94,4,ACT,600,680,1,A,4,A,1,N
399,MALE,2021,Hispanic,3115,3.19,3.76,4,ACT,660,580,0,,,B-,1,N
400,MALE,2021,White,3111,1.96,3.21,4,SAT,690,640,1,C-,1.7,C,1,N
401,MALE,2021,White,3111,2.9,3.74,4,SAT,570,590,1,D,1,B,1,N
402,MALE,2021,Hispanic,3111,1.13,3.45,4,SAT,700,660,1,D,1,W,1,N
403,MALE,2021,White,3115,3.81,3.8,4,SAT,680,670,0,,,H,1,N
404,MALE,2021,TwoOrMore,3107,2.7,0,0,SAT,490,440,1,C+,2.3,C+,1,N
405,FEMALE,2021,White,3111,3.88,3.98,4,ACT,650,740,1,A,4,A-,1,N
406,MALE,2021,Black,3111,2.96,0,0,SAT,600,570,2,C-,1.7,C+,1,N
407,MALE,2021,TwoOrMore,3111,3.31,95.26,100,SAT,620,680,1,B,3,B+,1,N
408,FEMALE,2021,White,3111,3.09,3.72,4,ACT,660,600,1,D,1,C,1,N
409,MALE,2021,White,3111,2.66,3.67,4,SAT,620,620,1,C-,1.7,C+,1,N
410,MALE,2021,White,3111,3.72,97.02,100,SAT,640,750,1,A-,3.7,A,1,N
411,MALE,2021,Hispanic,3111,3.09,3.5,4,ACT,630,710,1,C,2,C,1,N
412,MALE,2021,White,3111,3.64,3.8,4,ACT,740,710,1,B+,3.3,A,1,N
413,MALE,2021,White,3111,3.35,3.96,4,SAT,630,700,1,A,4,H,1,N
414,FEMALE,2021,White,3107,3.21,94.32,100,SAT,600,660,1,C-,1.7,C+,2,F
415,MALE,2022,White,3107,3.04,0,0,SAT,580,510,1,A-,3.7,B+,1,N
416,MALE,2021,Black,3111,3.71,95.84,100,SAT,680,640,1,A-,3.7,B,1,N
417,MALE,2021,White,3111,3.24,3.77,4.33,SAT,720,690,1,A-,3.7,B+,1,N
418,MALE,2021,Black,3107,2.92,3.71,4,SAT,600,650,1,D,1,C-,1,N
419,MALE,2021,White,3111,2.81,0,0,SAT,660,590,1,C,2,B+,1,N
420,FEMALE,2021,White,3211,3.04,3.95,4,SAT,660,710,0,,,,0,N
421,FEMALE,2021,Hispanic,3111,3.31,3.82,4,SAT,660,740,1,B-,2.7,B+,1,N
422,MALE,2021,White,3111,#N/A,3.95,4,SAT,660,650,1,W,,,0,N
423,FEMALE,2021,Hispanic,3111,2.68,3.7,4,SAT,660,600,1,C,2,C+,1,N
424,MALE,2021,White,3115,3.82,4,4,ACT,660,630,0,,,H,1,N
425,FEMALE,2021,Hispanic,3111,2.92,3.5,4,ACT,650,630,1,C+,2.3,C+,1,N
426,MALE,2021,Asian,3111,3.13,92,100,ACT,740,780,1,A,4,B,1,N
427,MALE,2021,TwoOrMore,3111,2.85,3.6,4,SAT,730,680,1,B-,2.7,,0,N
428,FEMALE,2021,White,3111,3.42,3.98,4,SAT,670,780,1,C,2,C+,1,N
429,FEMALE,2021,TwoOrMore,3213,3.53,4,4,ACT,650,790,0,,,B,1,N
430,MALE,2021,Hispanic,3111,2.66,3.3,4,SAT,660,700,1,B-,2.7,B+,1,N
431,FEMALE,2021,White,3111,3.81,3.92,4,SAT,620,700,1,B+,3.3,H,1,N
432,FEMALE,2021,White,3107,3.35,4,4,ACT,580,790,1,B,3,B,1,N
433,MALE,2021,TwoOrMore,3107,3.63,0,0,SAT,560,530,1,A,4,H,1,N
434,MALE,2021,Hispanic,3111,3.31,4,4,ACT,660,680,1,C+,2.3,B-,1,N
435,FEMALE,2021,White,3111,3.46,0,0,ACT,600,660,1,B,3,H,1,N
436,MALE,2021,White,3111,3.8,3.79,4,SAT,740,780,1,A-,3.7,A,1,N
437,MALE,2021,White,3111,3.75,3.82,0,SAT,740,760,1,H,4,A,1,N
438,FEMALE,2021,White,3111,3.94,3.4,4,ACT,680,800,1,A,4,H,1,N
439,MALE,2021,Hispanic,3111,3.26,0,0,SAT,660,690,2,B+,3.3,B,1,N
440,MALE,2021,International Cadet,3107,2.2,3.94,4,ACT,600,680,1,C+,2.3,B-,1,N
441,MALE,2021,White,3111,3.31,3.88,4,SAT,630,670,1,C,2,C,1,N
442,MALE,2021,White,3111,3.08,3.64,4,ACT,740,600,1,B,3,C,1,N
443,FEMALE,2021,White,3111,3.3,3.72,4,ACT,630,680,1,A-,3.7,A-,1,N
444,MALE,2021,White,3111,3.2,0,0,SAT,600,590,1,B-,2.7,B,1,N
445,MALE,2021,Black,3107,3.37,0,0,SAT,490,540,1,C,2,B-,1,N
446,MALE,2021,Black,3107,3.21,0,0,SAT,570,530,1,B+,3.3,B-,1,N
447,MALE,2021,White,3111,3.47,3.5,4,ACT,790,710,1,C+,2.3,C+,1,N
448,FEMALE,2021,White,3111,3.25,89,100,ACT,660,800,2,C+,2.3,B,1,N
449,MALE,2021,Asian,3111,2.93,3.89,4.3,ACT,700,660,1,B+,3.3,C+,1,N
450,FEMALE,2021,White,3107,3.4,3.98,4,ACT,600,660,1,B,3,B-,1,N
451,FEMALE,2021,TwoOrMore,3111,2.98,3.36,4,SAT,660,660,1,C+,2.3,D,1,N
452,MALE,2021,White,3107,3.17,3.8,4,ACT,660,630,1,B,3,A,1,N
453,MALE,2021,White,3115,3.55,3.9,4,SAT,610,690,0,,,A,1,N
454,MALE,2021,White,3115,3.63,4,4,SAT,760,680,0,,,A,1,N
455,FEMALE,2021,White,3107,2.8,3.8,4,SAT,640,650,1,C,2,C,1,N
456,FEMALE,2021,TwoOrMore,3111,3.85,4,4,SAT,670,710,1,B-,2.7,A-,1,N
457,FEMALE,2021,White,3111,3.88,4,4,SAT,550,550,1,H,4,A,1,N
458,MALE,2021,White,3111,3.82,4,4,SAT,710,780,1,A,4,A,1,N
459,MALE,2021,White,3111,2.83,3.52,4,SAT,720,660,1,C,2,C+,1,N
460,MALE,2021,White,3115,3.7,92.22,100,SAT,710,680,0,,,A,1,N
461,MALE,2021,White,3111,3.01,3.7,4,ACT,610,680,1,B,3,B-,1,N
462,FEMALE,2021,White,3115,3.66,4,4,ACT,680,800,0,,,H,1,N
463,MALE,2021,TwoOrMore,3111,2.86,3.6,4,SAT,610,620,1,B,3,B,1,N
464,FEMALE,2021,White,3111,2.91,3.85,4,ACT,680,790,1,B,3,A-,1,N
465,MALE,2021,Black,3111,3.36,3.58,4,ACT,680,680,1,B,3,A,1,N
466,FEMALE,2021,White,3111,3.81,3.9,4,SAT,730,680,1,B,3,B+,1,N
467,FEMALE,2021,White,3111,3.49,3.69,4,SAT,660,630,1,C-,1.7,B-,1,N
468,FEMALE,2021,Asian,3111,3.74,0,0,SAT,560,620,1,A-,3.7,A-,1,N
469,MALE,2021,White,3111,3.38,0,0,ACT,610,630,1,A-,3.7,B,1,N
470,MALE,2021,White,3111,3.19,3.69,4,SAT,660,610,1,C+,2.3,C+,1,N
471,FEMALE,2021,Hispanic,3111,3.29,3.95,4,SAT,680,640,1,A,4,B,1,N
472,MALE,2021,International Cadet,3107,1.19,3.94,4,ACT,600,680,1,D,1,F,1,N
473,FEMALE,2021,Asian,3107,0.84,0,0,ACT,520,490,0,,,,0,N
474,FEMALE,2021,White,3111,3.63,3.5,4,ACT,630,710,1,B,3,H,1,N
475,MALE,2021,Asian,3111,3.38,3.95,4,SAT,650,720,1,B-,2.7,B,1,N
476,MALE,2021,White,3111,3.48,3.63,4,SAT,680,640,1,A,4,A,1,N
477,MALE,2021,White,3111,3.36,0,0,SAT,610,650,1,C,2,B+,1,N
478,FEMALE,2021,White,3115,3.91,4,4,SAT,800,640,0,,,H,1,N
479,FEMALE,2021,Hispanic,3111,2.41,0,0,ACT,610,630,1,C+,2.3,,0,N
480,MALE,2021,White,3111,2.42,3.3,4,ACT,640,710,1,D,1,C-,2,F
481,MALE,2021,White,3107,2.9,0,0,ACT,610,600,1,C-,1.7,B,1,N
482,MALE,2021,White,3111,2.88,3.69,4,SAT,730,650,1,B,3,B-,1,N
483,MALE,2021,White,3111,3.34,3.8,4,SAT,660,710,1,A-,3.7,B+,1,N
484,MALE,2021,Black,3115,3.17,0,0,SAT,680,590,0,,,,0,N
485,MALE,2021,White,3111,3,3.26,4,SAT,670,600,1,C,2,C+,1,N
486,FEMALE,2021,TwoOrMore,3111,3.34,4,4,ACT,600,780,1,A-,3.7,B+,1,N
487,MALE,2021,White,3111,2.89,0,0,SAT,620,520,1,C+,2.3,B-,1,N
488,MALE,2021,White,3111,3.45,3.91,4,SAT,690,740,1,A,4,A,1,N
