RecordNum,Phys1Grade,PhysicsITimes,P1_PrevGrade
641,A-,1,N
642,C+,1,N
643,H,1,N
644,B+,1,N
645,C+,1,N
646,D,1,N
647,H,1,N
648,,0,N
649,C+,1,N
650,B-,1,N
651,H,1,N
652,B-,1,N
653,C,1,N
654,D,1,N
655,B+,1,N
656,A,1,N
657,A,1,N
658,B+,1,N
659,B+,1,N
660,A-,1,N
661,H,1,N
662,B+,1,N
663,B+,1,N
664,B,1,N
665,B,1,N
666,B+,1,N
667,B+,1,N
668,C,2,F
669,B-,1,N
670,B,1,N
671,A-,1,N
672,B-,1,N
673,A-,1,N
674,C-,1,N
675,,0,N
676,A-,1,N
677,,0,N
678,C+,1,N
679,H,1,N
680,A,1,N
681,C+,1,N
682,F,2,F
683,D,1,N
684,D,1,N
685,C-,1,N
686,C-,1,N
687,,0,N
688,C-,1,N
689,,0,N
690,B,1,N
691,B-,1,N
692,C+,1,N
693,H,1,N
694,H,1,N
695,B+,1,N
696,B-,1,N
697,B-,1,N
698,B-,1,N
699,D,1,N
700,W,3,F
701,A-,1,N
702,B-,1,N
703,B+,1,N
704,A-,1,N
705,A-,1,N
706,H,1,N
707,A,1,N
708,B+,1,N
709,A-,1,N
710,A-,1,N
711,C+,1,N
712,A,1,N
713,A,1,N
714,B+,1,N
715,A,1,N
716,B,1,N
717,B,1,N
718,C,1,N
719,B,1,N
720,C+,1,N
721,A,1,N
722,,0,N
723,C,1,N
724,H,1,N
725,H,1,N
726,C-,1,N
727,A,1,N
728,B+,1,N
729,B+,1,N
730,B-,1,N
731,B-,1,N
732,,0,N
733,,0,N
734,B+,1,N
735,,0,N
736,B,1,N
737,B-,1,N
738,,0,N
739,,0,N
740,C+,1,N
741,A,1,N
742,D,1,N
743,,0,N
744,C+,1,N
745,B,1,N
746,A-,1,N
747,B+,1,N
748,C,1,N
749,,0,N
750,C,1,N
751,A,1,N
752,,0,N
753,A-,1,N
754,C,1,N
755,C+,1,N
756,H,1,N
757,H,1,N
758,B-,1,N
759,A,1,N
760,A,1,N
761,H,1,N
762,C+,1,N
763,C,1,N
764,H,1,N
765,B,1,N
766,A-,1,N
767,,0,N
768,B+,1,N
769,B,1,N
770,C+,1,N
771,,0,N
772,B,1,N
773,B-,1,N
774,A,1,N
775,B,1,N
776,C+,1,N
777,B+,1,N
778,C+,1,N
779,B,1,N
780,B-,1,N
781,A-,1,N
782,A-,1,N
783,A,1,N
784,B,1,N
785,A,1,N
786,A-,1,N
787,B+,1,N
788,D,1,N
789,C-,1,N
790,B+,1,N
791,A,1,N
792,B-,1,N
793,C+,2,F
794,C,1,N
795,B-,1,N
796,B,1,N
797,A,1,N
798,C+,1,N
799,D,1,N
800,A-,1,N
801,B+,1,N
802,C,1,N
803,B,1,N
804,A,1,N
805,A-,1,N
806,B+,1,N
807,C+,1,N
808,C+,1,N
809,B,1,N
810,C+,1,N
811,C,1,N
812,C,1,N
813,B-,1,N
814,A,1,N
815,B,1,N
816,B,1,N
817,A-,1,N
818,B+,1,N
819,B,1,N
820,A,1,N
821,A-,1,N
822,,0,N
823,H,1,N
824,B-,1,N
825,C+,1,N
826,C,1,N
827,W,1,N
828,A-,1,N
829,H,1,N
830,B+,1,N
831,,0,N
832,B+,1,N
833,C,1,N
834,C,1,N
835,,0,N
836,H,1,N
837,A,1,N
838,A-,1,N
839,B+,1,N
840,A-,1,N
841,A-,1,N
842,B,1,N
843,B,1,N
844,A,1,N
845,C+,1,N
846,,0,N
847,B+,1,N
848,B+,1,N
849,B,1,N
850,H,1,N
851,C+,1,N
852,A-,1,N
853,B,1,N
854,,0,N
855,H,1,N
856,C-,1,N
857,A-,1,N
858,B-,1,N
859,B,1,N
860,B+,1,N
861,,0,N
862,B-,1,N
863,A,1,N
864,,0,N
865,C,1,N
866,C+,1,N
867,B-,1,N
868,A,1,N
869,C+,1,N
870,B,1,N
871,A,1,N
872,B,1,N
873,B+,1,N
874,A,1,N
875,,0,N
876,A,1,N
877,A,1,N
878,A,1,N
879,B+,1,N
880,B+,1,N
881,B+,1,N
882,A,1,N
883,B+,1,N
884,A,1,N
885,,0,N
886,B,1,N
887,B+,1,N
888,B+,1,N
889,C+,1,N
890,,0,N
891,A,1,N
892,,0,N
893,C,1,N
894,C+,1,N
895,A,1,N
896,A,1,N
897,B+,1,N
898,A,1,N
899,A,1,N
900,A,1,N
901,B+,1,N
902,,0,N
903,,0,N
904,A,1,N
905,,0,N
906,A,1,N
907,C+,1,N
908,B+,1,N
909,A,1,N
910,B,1,N
911,C+,1,N
912,A,1,N
913,A,1,N
914,A,1,N
915,B,1,N
916,B,1,N
917,C,1,N
918,A,1,N
919,C+,1,N
920,B+,1,N
921,,0,N
922,A,1,N
923,A,1,N
924,A,1,N
925,A,1,N
926,A,1,N
927,A,1,N
928,C,1,N
929,B+,1,N
930,B+,1,N
931,B+,1,N
932,A,1,N
933,,0,N
934,A,1,N
935,A,1,N
936,,0,N
937,,0,N
938,A,1,N
939,C+,1,N
940,B,1,N
941,A,1,N
942,C,1,N
943,A,1,N
944,A,1,N
945,C+,1,N
946,B+,1,N
947,A,1,N
948,A,1,N
949,B,1,N
950,A,1,N
951,B+,1,N
952,C+,1,N
953,A,1,N
954,B+,1,N
955,C+,1,N
956,C+,1,N
957,A,1,N
958,A,1,N
959,A,1,N
960,A,1,N
961,A,1,N
962,A,1,N
963,B+,1,N
964,B+,1,N
965,B+,1,N
966,B,1,N
967,B+,1,N
968,A,1,N
969,B+,1,N
970,B+,1,N
971,A,1,N
972,A,1,N
973,A,1,N
974,B+,1,N
975,A,1,N
976,B+,1,N
977,S,1,N
978,B-,2,F
979,B+,1,N
980,A,1,N
981,A,1,N
982,C+,1,N
983,B+,1,N
984,A,1,N
985,B+,1,N
986,C,1,N
987,A,1,N
988,B,1,N
989,B+,1,N
990,C,1,N
991,A,1,N
992,A,1,N
993,,0,N
994,B+,1,N
995,A,1,N
996,A,1,N
997,C+,1,N
998,B+,1,N
999,A,1,N
1000,B+,1,N
1001,B,1,N
1002,A,1,N
1003,A,1,N
1004,C+,1,N
1005,A,1,N
1006,A,1,N
1007,B,1,N
1008,A,1,N
1009,A,1,N
1010,B,1,N
1011,A,1,N
1012,A,1,N
1013,B+,1,N
1014,C+,1,N
1015,A,1,N
1016,B,1,N
1017,B+,1,N
1018,A,1,N
1019,,0,N
1020,C,1,N
1021,A,1,N
1022,A,1,N
1023,B,1,N
1024,A,1,N
1025,A,1,N
1026,C+,1,N
1027,B,1,N
1028,,0,N
1029,,0,N
1030,B,1,N
1031,B,1,N
1032,A,1,N
1033,A,1,N
1034,A,1,N
1035,B,1,N
1036,B+,1,N
1037,C+,1,N
1038,B,1,N
1039,,0,N
1040,A,1,N
1041,A,1,N
1042,A,1,N
1043,,0,N
1044,,0,N
1045,B,1,N
1046,A,1,N
1047,A,1,N
1048,B+,1,N
1049,C,1,N
1050,B+,1,N
1051,C+,1,N
1052,B+,1,N
1053,B+,1,N
1054,B,1,N
1055,C,1,N
1056,A,1,N
1057,A,1,N
1058,B+,1,N
1059,B,1,N
1060,B,1,N
1061,A,1,N
1062,B,1,N
1063,A,1,N
1064,B+,1,N
1065,B+,1,N
1066,A,1,N
1067,A,1,N
1068,A,1,N
1069,B,1,N
1070,B,1,N
1071,A,1,N
1072,B+,1,N
1073,B+,1,N
1074,A,1,N
1075,B+,1,N
1076,A,1,N
1077,A,1,N
1078,C+,1,N
1079,B+,1,N
1080,C,1,N
1081,B,1,N
1082,B,1,N
1083,A,1,N
1084,,0,N
1085,B,1,N
1086,,0,N
1087,B+,1,N
1088,A,1,N
1089,C+,1,N
1090,A,1,N
1091,C+,1,N
1092,,0,N
1093,A,1,N
1094,A,1,N
1095,A,1,N
1096,B,1,N
1097,B,1,N
1098,B+,1,N
1099,A,1,N
1100,A,1,N
1101,,0,N
1102,B+,1,N
1103,B,1,N
1104,A,1,N
1105,A,1,N
1106,C,2,F
1107,A,1,N
1108,C+,1,N
1109,C,1,N
1110,,0,N
1111,A,1,N
1112,C,1,N
1113,A,1,N
1114,A,1,N
1115,A,1,N
1116,,0,N
1117,A,1,N
1118,B+,1,N
1119,B+,1,N
1120,A,1,N
1121,B+,1,N
1122,A,1,N
1123,B,1,N
1124,B,1,N
1125,B+,1,N
1126,,0,N
1127,B+,1,N
1128,B+,1,N
1129,A,1,N
1130,B,1,N
1131,A,1,N
1132,B,1,N
