RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1416,Female,2025,White,3107,3.41,4,4,ACT,610,790,1,B+,3.3,1
1417,Female,2025,White,3111,3.87,4,4,ACT,740,710,1,A,4,1
1418,Male,2025,TwoOrMore,3111,3.09,3.9,4,SAT,670,600,1,B+,3.3,1
1419,Male,2025,White,3107,3.19,3.88,4,ACT,600,630,1,B-,2.7,1
1420,Male,2025,Hispanic,3107,2.94,0,0,SAT,540,550,1,B+,3.3,1
1421,Male,2025,White,3107,3.14,4,4,SAT,650,640,1,B-,2.7,1
1422,Female,2025,White,3107,2.64,3.7,4,SAT,600,530,1,B-,2.7,1
1423,Male,2025,White,3111,3.63,4,4,SAT,720,710,1,B+,3.3,1
1424,Male,2025,White,3111,2.88,3.61,4,SAT,790,630,1,C+,2.3,1
1425,Male,2025,White,3115,2.88,4,4,SAT,790,690,0,,,1
1426,Male,2025,White,3111,2.88,0,0,SAT,600,580,1,C+,2.3,1
1427,Female,2025,Black,3111,3.3,4,4,ACT,540,540,1,B,3,1
1428,Male,2025,White,3107,2.98,3.92,4,SAT,640,630,1,B,3,1
1429,Female,2025,White,3107,2.99,3.93,4,SAT,620,690,1,B,3,1
1430,Female,2025,White,3107,3,3.81,4,SAT,0,0,1,C,2,1
1431,Male,2025,White,3107,2.16,3.73,4,SAT,670,650,1,C-,1.7,1
1432,Male,2025,Black,3107,1.94,3.68,4,SAT,550,590,1,C-,1.7,1
1433,Male,2025,Hispanic,3111,3.41,92.07,100,SAT,690,700,1,A-,3.7,1
1434,Female,2025,Asian,3111,2.75,0,0,SAT,590,520,1,D,1,1
1435,Female,2025,White,3111,2.91,3.96,4,SAT,660,700,1,C,2,1
1436,Female,2025,Asian,3107,3.77,3.83,4,SAT,680,640,1,A,4,1
1437,Male,2025,White,3111,2.62,88.59,100,SAT,690,570,1,D,1,1
1438,Female,2025,White,3111,3.24,3.92,4,ACT,610,790,1,B-,2.7,1
1439,MALE,2025,TwoOrMore,3111,2.81,90.4,100,ACT,700,630,1,B-,2.7,1
1440,MALE,2025,International Cadet,3111,3.24,4,4,ACT,460,600,1,B+,3.3,1
1441,Female,2025,White,3111,3.11,95.1,100,SAT,660,720,1,B+,3.3,1
1442,Male,2025,Hispanic,3107,1.92,93,100,ACT,610,490,1,C,2,1
1443,Male,2025,White,3111,3.39,3.88,4,SAT,620,630,1,C+,2.3,1
1444,Male,2025,TwoOrMore,3111,3.66,4,4,ACT,640,740,1,B+,3.3,1
1445,Male,2025,Asian,3111,3.85,3.66,4,ACT,790,800,1,A,4,1
1446,Female,2025,Asian,3115,3.71,0,0,SAT,710,690,0,,,1
1447,Male,2025,Hispanic,3107,2.79,99,100,SAT,620,560,1,A-,3.7,1
1448,Male,2025,TwoOrMore,3111,3.9,3.98,4,SAT,710,650,1,A,4,1
1449,Female,2025,White,3107,3.18,3.9,4,SAT,650,640,1,B+,3.3,1
1450,Male,2025,TwoOrMore,3111,2.3,90,100,SAT,620,650,1,C+,2.3,1
1451,Female,2025,TwoOrMore,3111,3.21,0,0,SAT,600,550,1,A-,3.7,1
1452,Female,2025,White,3111,3.78,93.37,100,SAT,730,670,1,A,4,1
1453,Male,2025,TwoOrMore,3107,3.42,0,0,SAT,590,590,1,B,3,1
1454,Male,2025,White,3111,2.63,4,4,SAT,660,570,1,B,3,1
1455,Male,2025,White,3111,3.73,3.78,4,SAT,680,640,1,A-,3.7,1
1456,Male,2025,White,3111,2.9,3.82,4,SAT,700,650,1,C,2,1
1457,Male,2025,TwoOrMore,3111,2.24,3.98,4,SAT,740,720,1,D,1,2
1458,Female,2025,White,3111,3.31,3.84,4,SAT,620,680,1,C,2,1
1459,Female,2025,White,3115,3.79,4,4,ACT,630,800,0,,,1
1460,Male,2025,White,3115,3.48,3.91,4,SAT,680,680,0,,,0
1461,Male,2025,White,3107,2.93,0,0,SAT,620,530,1,W,,1
1462,Female,2025,White,3111,2.24,3.52,4,ACT,610,660,1,D,1,1
1463,Female,2025,White,3107,2.78,4,4,SAT,590,650,1,C+,2.3,1
1464,Female,2025,White,3111,2.99,3.9,4,SAT,730,640,1,C+,2.3,1
1465,Male,2025,White,3107,3.16,0,0,ACT,560,580,1,B+,3.3,1
1466,Male,2025,White,3111,3.17,4,4,ACT,580,630,1,B-,2.7,1
1467,Male,2025,Hispanic,3107,3.29,4,4,SAT,630,670,1,B+,3.3,1
1468,Male,2025,TwoOrMore,3111,3.42,4,4,ACT,610,560,1,B+,3.3,1
1469,Male,2025,Black,3107,2.3,0,0,SAT,550,560,1,D,1,1
1470,Female,2025,White,3111,3.27,3.84,4,ACT,760,790,1,A,4,1
1471,Female,2025,White,3115,3.99,4,4,ACT,700,800,0,,,1
1472,Female,2025,Black,3107,3.3,0,0,SAT,600,570,1,B,3,1
1473,MALE,2025,International Cadet,3107,3.01,4,4,ACT,460,600,1,C+,2.3,1
1474,Female,2025,Hispanic,3111,3.06,3.9,4,SAT,600,590,1,C,2,1
1475,Male,2025,White,3111,3.43,4.54,5,SAT,750,710,1,B-,2.7,1
1476,Male,2025,Hispanic,3115,2.16,3.6,4,SAT,680,780,0,,,0
1477,Male,2025,TwoOrMore,3107,3.64,3.6,4,ACT,610,600,1,A-,3.7,1
1478,Male,2025,Hispanic,3111,3.03,3.91,4,SAT,630,530,1,B+,3.3,1
1479,Female,2025,TwoOrMore,3107,2.88,0,0,ACT,580,670,1,C,2,1
1480,MALE,2025,International Cadet,3115,3.85,4,4,ACT,460,600,0,,,1
1481,Female,2025,Black,3107,2.87,0,0,SAT,600,650,1,C,2,1
1482,Male,2025,White,3111,3.53,4,4,SAT,660,660,1,B,3,1
1483,Male,2025,Hispanic,3111,3.45,0,0,SAT,730,700,1,B+,3.3,1
1484,Male,2025,Hispanic,3107,2.83,0,0,SAT,540,600,1,C,2,1
1485,Male,2025,White,3107,3.34,3.65,4,SAT,660,750,1,B,3,1
1486,Male,2025,White,3111,3.48,93.81,100,SAT,690,690,1,B+,3.3,1
1487,Male,2025,White,3111,3.92,3.99,4,SAT,690,700,1,A-,3.7,1
1488,Male,2025,Asian,3111,2.59,0,0,SAT,660,610,1,C-,1.7,1
1489,Female,2025,White,3115,3.79,4,4,SAT,750,690,0,,,1
1490,Female,2025,White,3115,3.63,3.97,4,SAT,660,660,0,,,1
1491,Male,2025,White,3111,2.1,3.69,4,SAT,0,0,1,D,1,1
1492,Male,2025,White,3107,3.86,4,4,ACT,650,800,1,A-,3.7,1
1493,Female,2025,White,3111,3.92,4,4,SAT,660,680,1,H,4,1
1494,Male,2025,White,3115,3.67,3.87,4,SAT,730,700,0,,,1
1495,Female,2025,Black,3111,2.89,3.9,4,SAT,570,630,1,C,2,1
1496,Male,2025,Hispanic,3111,3.04,4,4,SAT,710,720,1,B-,2.7,1
1497,Female,2025,White,3111,2.62,0,0,SAT,570,620,2,C,2,1
1498,Male,2025,Hispanic,3111,3.34,3.92,4,SAT,720,760,1,A-,3.7,1
1499,Female,2025,White,3107,3.14,3.95,4,SAT,590,710,1,B,3,1
1500,Female,2025,White,3115,3.69,4,4,SAT,780,650,0,,,1
1501,Female,2025,White,3107,2.46,0,0,SAT,580,540,1,C,2,1
1502,Female,2025,White,3111,2.75,3.83,4,ACT,650,630,1,C+,2.3,1
1503,Male,2025,TwoOrMore,3111,3.42,3.75,4,SAT,760,660,1,B,3,1
1504,Male,2025,White,3211,3,3.73,4,SAT,670,660,0,,,0
1505,Male,2025,White,3115,3.61,3.89,4,SAT,740,630,0,,,1
1506,MALE,2025,Hispanic,3115,3.11,0,0,SAT,590,540,0,,,1
1507,MALE,2025,Hispanic,3111,2.65,86.7,100,ACT,580,560,1,D,1,1
1508,Male,2025,TwoOrMore,3111,2.48,3.9,4,ACT,630,740,1,C,2,1
1509,Female,2025,TwoOrMore,3115,3.03,0,0,ACT,580,600,0,,,1
1510,Female,2025,White,3115,3.53,97.8,100,SAT,710,690,0,,,0
1511,Female,2025,White,3111,3.32,3.76,4,SAT,610,550,1,B,3,1
1512,FEMALE,2025,Hispanic,3115,3.75,3.97,4,SAT,0,0,0,,,1
1513,Female,2025,White,3115,3.75,3.5,4,SAT,630,680,0,,,1
1514,Female,2025,White,3111,2.96,0,0,ACT,630,790,1,C,2,1
1515,Female,2025,White,3107,3.39,3.9,4,ACT,560,630,1,A-,3.7,1
1516,Male,2025,White,3115,3.97,4,4,SAT,780,670,0,,,0
1517,Male,2025,White,3111,2.96,0,0,SAT,600,510,1,C+,2.3,1
1518,FEMALE,2025,Asian,3111,3.6,4,4,SAT,660,650,1,B+,3.3,1
1519,MALE,2025,International Cadet,3111,3,4,4,ACT,460,600,1,B,3,1
1520,Male,2025,White,3111,2.65,3.55,4,SAT,650,610,2,C,2,1
